order,partitions,mf_type,margin_percent,train_RMSE,train_MAE,train_MAPE,test_RMSE,test_MAE,test_MAPE,execution_time
2,9,trapezoidal,0.1,1859.0690762920915,1601.0478723404256,3186.0369660417505,2975.629975969609,1985.2861111111108,299.65015313289916,0.004919528961181641
3,9,trapezoidal,0.1,1792.356556597325,1573.993939393939,3164.6659460516366,3062.819632390318,2078.858333333333,304.8391475109364,0.004708290100097656
2,15,bell,0.1,1568.1644634629636,1306.1542553191482,2724.6914174456956,3510.621712982854,2202.225,255.18345140498363,0.019130945205688477
2,15,triangular,0.1,1568.1644634629636,1306.1542553191482,2724.6914174456956,3510.621712982854,2202.225,255.18345140498363,0.005487203598022461
2,15,gaussian,0.1,1568.1644634629636,1306.1542553191482,2724.6914174456956,3510.621712982854,2202.225,255.18345140498363,0.01615285873413086
2,17,bell,0.1,1025.32453596047,766.7521276595742,1182.7058888570973,3615.541371864893,2012.766666666667,124.26197709903317,0.020923376083374023
2,17,triangular,0.1,1025.32453596047,766.7521276595742,1182.7058888570973,3615.541371864893,2012.766666666667,124.26197709903317,0.01001119613647461
2,17,gaussian,0.1,1025.32453596047,766.7521276595742,1182.7058888570973,3615.541371864893,2012.766666666667,124.26197709903317,0.018927574157714844
3,15,gaussian,0.1,1479.0610109156057,1274.8181818181813,2705.651220107946,3618.2988284091,2344.2416666666663,259.8391971317849,0.029471397399902344
3,15,bell,0.1,1479.0610109156057,1274.8181818181813,2705.651220107946,3618.2988284091,2344.2416666666663,259.8391971317849,0.03143572807312012
3,15,triangular,0.1,1479.0610109156057,1274.8181818181813,2705.651220107946,3618.2988284091,2344.2416666666663,259.8391971317849,0.007623910903930664
2,15,trapezoidal,0.1,2422.8207256041496,2190.6670212765953,5758.943413831109,3732.153710723431,2853.5316666666663,563.3234642721031,0.00667119026184082
2,13,triangular,0.1,1990.9812191747021,1829.1585106382981,4792.535123657813,3740.047199122849,2600.266666666667,464.76627289414074,0.005491495132446289
2,13,gaussian,0.1,1990.9812191747021,1829.1585106382981,4792.535123657813,3740.047199122849,2600.266666666667,464.76627289414074,0.016942501068115234
2,13,bell,0.1,1990.9812191747021,1829.1585106382981,4792.535123657813,3740.047199122849,2600.266666666667,464.76627289414074,0.016112327575683594
4,9,trapezoidal,0.1,1757.2606014367946,1558.7849462365589,3111.389662813818,3811.9553150921456,2207.2999999999997,306.47939675030506,0.007615089416503906
3,15,trapezoidal,0.1,2376.766066515389,2122.079786096256,5712.425497349076,3858.511783982697,2916.9666666666667,561.7295283119671,0.007793903350830078
5,13,bell,0.1,2085.280406473341,1912.0367567567564,4634.493820688837,3953.6429123446815,2778.1333333333337,462.01348515776897,0.03158116340637207
5,13,gaussian,0.1,2085.280406473341,1912.0367567567564,4634.493820688837,3953.6429123446815,2778.1333333333337,462.01348515776897,0.027425765991210938
5,13,triangular,0.1,2085.280406473341,1912.0367567567564,4634.493820688837,3953.6429123446815,2778.1333333333337,462.01348515776897,0.009769201278686523
2,17,trapezoidal,0.1,1682.532900336532,1526.1452440550684,3940.2824765848036,3972.33231712648,2579.336764705882,377.9906339958183,0.00725865364074707
3,13,gaussian,0.1,1969.9457425683331,1807.3957219251338,4755.8229561454455,3980.9475737567814,2718.4500000000003,463.93711764512807,0.025889158248901367
3,13,triangular,0.1,1969.9457425683331,1807.3957219251338,4755.8229561454455,3980.9475737567814,2718.4500000000003,463.93711764512807,0.010103940963745117
3,13,bell,0.1,1969.9457425683331,1807.3957219251338,4755.8229561454455,3980.9475737567814,2718.4500000000003,463.93711764512807,0.03319096565246582
4,13,triangular,0.1,1958.5224721658149,1790.1397849462367,4671.105818038423,4035.766499481026,2778.3916666666664,461.99150409550276,0.0194852352142334
4,13,gaussian,0.1,1958.5224721658149,1790.1397849462367,4671.105818038423,4035.766499481026,2778.3916666666664,461.99150409550276,0.0569460391998291
4,13,bell,0.1,1958.5224721658149,1790.1397849462367,4671.105818038423,4035.766499481026,2778.3916666666664,461.99150409550276,0.05700874328613281
3,17,trapezoidal,0.1,1589.0078608249266,1463.1674740484425,3907.186798246812,4041.6528994662012,2712.0303921568625,379.3829327679687,0.010314702987670898
3,11,trapezoidal,0.1,1732.1634412116873,1195.0381137579,908.4420407361941,4083.7852911923796,2358.577272727273,142.5415730425078,0.006633758544921875
1,13,triangular,0.1,2695.078993453138,2244.7788359788356,4822.750285271438,4095.7069766199506,3128.3333333333335,466.6006293967456,0.00407099723815918
1,13,gaussian,0.1,2695.078993453138,2244.7788359788356,4822.750285271438,4095.7069766199506,3128.3333333333335,466.6006293967456,0.01884913444519043
1,13,bell,0.1,2695.078993453138,2244.7788359788356,4822.750285271438,4095.7069766199506,3128.3333333333335,466.6006293967456,0.020536184310913086
5,9,trapezoidal,0.1,1905.9254605795275,1644.6486486486483,3088.4939204682023,4099.039568786996,2464.147222222222,316.4761803136455,0.009283065795898438
3,17,bell,0.1,1052.2665796519466,813.4727272727271,1179.3541547977657,4133.34338177542,2146.1583333333333,135.8028246503366,0.029615163803100586
3,17,gaussian,0.1,1052.2665796519466,813.4727272727271,1179.3541547977657,4133.34338177542,2146.1583333333333,135.8028246503366,0.03149580955505371
3,17,triangular,0.1,1052.2665796519466,813.4727272727271,1179.3541547977657,4133.34338177542,2146.1583333333333,135.8028246503366,0.015533208847045898
4,7,trapezoidal,0.1,3056.6893074289596,2842.0709677419354,6701.883142553811,4152.166529857234,3332.1000000000004,685.1037029563488,0.0063266754150390625
3,7,trapezoidal,0.1,3065.182790895883,2854.3732620320848,6822.031845336523,4160.436920765254,3348.525,686.7396591316477,0.00539088249206543
2,11,trapezoidal,0.1,1779.8212563215493,1221.5238878143134,902.3497652869978,4201.194561616878,2398.6954545454546,123.41312680590093,0.015921354293823242
2,7,trapezoidal,0.1,3041.2963012714913,2805.2670212765956,6872.615078778937,4239.317852162853,3365.2000000000003,685.9772886996386,0.004248619079589844
5,15,trapezoidal,0.1,2263.9047507535124,1990.0903783783776,5558.465629364357,4254.053135783176,3034.8916666666664,553.0341795693055,0.010502338409423828
4,17,bell,0.1,1070.725079419981,834.8258064516128,1164.6152845707338,4256.753344001349,2238.3416666666667,143.14201406775325,0.06305480003356934
4,17,gaussian,0.1,1070.725079419981,834.8258064516128,1164.6152845707338,4256.753344001349,2238.3416666666667,143.14201406775325,0.19654297828674316
4,17,triangular,0.1,1070.725079419981,834.8258064516128,1164.6152845707338,4256.753344001349,2238.3416666666667,143.14201406775325,0.044775962829589844
4,15,trapezoidal,0.1,2331.4411410509474,2065.4408602150534,5608.349617446813,4266.807011142329,3075.5849999999996,559.5870512815974,0.02121114730834961
3,5,gaussian,0.1,3888.123444899961,3178.3582887700522,4794.159369203802,4302.301273930809,3197.358333333332,494.4113879417355,0.013985157012939453
3,5,triangular,0.1,3888.123444899961,3178.3582887700522,4794.159369203802,4302.301273930809,3197.358333333332,494.4113879417355,0.005098581314086914
3,5,bell,0.1,3888.123444899961,3178.3582887700522,4794.159369203802,4302.301273930809,3197.358333333332,494.4113879417355,0.009298086166381836
4,5,triangular,0.1,4024.6208909286006,3281.348387096773,4719.276401980673,4309.842550681714,3206.224999999999,505.237076125027,0.030620336532592773
4,5,bell,0.1,4024.6208909286006,3281.348387096773,4719.276401980673,4309.842550681714,3206.224999999999,505.237076125027,0.02119302749633789
4,5,gaussian,0.1,4024.6208909286006,3281.348387096773,4719.276401980673,4309.842550681714,3206.224999999999,505.237076125027,0.025500059127807617
5,17,gaussian,0.1,1032.2898141143912,832.3113513513513,1161.3904146446034,4329.80147485617,2317.558333333334,151.83367298667198,0.03589892387390137
