Dataset,Best Order,Best Partitions,Best MF Type,Test RMSE,Test MAE,Test MAPE (%)
Mackey-Glass,4,17,trapezoidal,0.046548929744519095,0.036178295601823535,6.200188417196091
Total Specimens,1,9,triangular,9284.725845973904,7695.288541666668,11.159490537825185
Influenza A,2,9,trapezoidal,2975.629975969609,1985.2861111111108,299.65015313289916
Influenza B,1,11,trapezoidal,371.37574613985856,273.0590909090909,101.36380246830896
